"last_name, first_name","player_id","year","pa","single","double","triple","home_run","batting_avg","slg_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Abbott, Andrew","671096","2024","586","73","28","1","25",".240",".439",".323",".310",36.6,9.3,33.5,"78.18333039","93.177609095",22.6,47.6
"Bradley, Taj","671737","2024","578","77","22","1","22",".235",".408",".308",".315",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Bibee, Tanner","676440","2024","710","84","40","4","22",".230",".406",".299",".301",37.4,7,36.9,"77.504108675","93.719329103",26.9,51
"Sears, JP","676664","2024","758","102","39","3","28",".251",".439",".324",".324",32.7,10.2,40.2,"78.173332182","94.379787855",21.8,48.7
"Crawford, Kutter","676710","2024","759","89","30","2","34",".223",".419",".304",".304",33.4,9.9,36.3,"77.710617066","93.646279363",25.3,52
"Crochet, Garrett","676979","2024","595","78","25","2","18",".222",".371",".280",".263",34.5,9.2,38.8,"76.536271919","94.146127471",33.1,53.2
"Bello, Brayan","678394","2024","702","107","31","0","19",".252",".394",".319",".328",34.2,7.4,41.1,"76.384630975","94.524067665",25.9,46.3
"Marsh, Alec","679525","2024","548","73","28","3","19",".249",".434",".325",".341",38,9.6,40.9,"78.827178162","94.623945041",23.5,47.6
"Woods Richardson, Simeon","680573","2024","569","87","21","1","16",".246",".385",".305",".311",35.7,8.2,36.2,"78.06318392","93.54377801",22.3,49.8
"Parker, Mitchell","680730","2024","646","103","31","2","18",".259",".408",".311",".322",35.3,8.1,38.9,"79.509350699","94.140672817",22.3,51.4
"Arrighetti, Spencer","681293","2024","632","85","32","1","21",".250",".424",".332",".311",38.3,7.7,39.8,"77.934348615","94.124621851",27.7,47.2
"Miller, Bryce","682243","2024","704","84","25","1","21",".200",".338",".260",".299",32.8,9.7,41.2,"80.650222167","94.328141625",24.4,48.9
"Ortiz, Luis","682847","2024","556","68","21","4","16",".218",".372",".287",".320",34.9,8.8,37.7,"78.240775528","94.10121864",21,48.1
"Jones, Jared","683003","2024","504","55","29","4","18",".232",".432",".314",".311",36.9,9.8,44.5,"79.019910366","94.534128685",30.2,51.6
"Estes, Joey","683155","2024","543","71","34","2","23",".259",".473",".333",".324",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Imanaga, Shota","684007","2024","694","98","23","1","27",".225",".385",".279",".286",36,8.6,39.3,"77.586230864","93.931424733",28.3,55.7
"Cannon, Jonathan","686563","2024","522","80","24","3","18",".263",".440",".332",".322",38.3,7.3,36.3,"78.719188912","93.823911325",21.8,47.1
"Brown, Hunter","686613","2024","712","120","16","2","18",".242",".357",".296",".283",28,4.5,30.3,"74.687517768","92.855098176",25.1,46.3
"Pepiot, Ryan","686752","2024","539","65","18","2","17",".212",".364",".290",".296",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Spence, Mitch","687765","2024","651","101","41","3","20",".276",".455",".340",".314",30.9,8.4,41.7,"78.960464768","94.185021142",22.5,50.6
"Harrison, Kyle","690986","2024","532","81","25","1","18",".263",".433",".330",".338",34.2,10.1,44.1,"80.405098066","94.933663315",23.6,46.2
"Pfaadt, Brandon","694297","2024","760","122","31","6","24",".259",".421",".312",".301",33,8.1,39.4,"78.684914866","94.224942476",25.4,49.3
"Stone, Gavin","694813","2024","580","88","25","2","18",".248",".402",".304",".307",32.5,6.4,36.2,"77.107440095","93.702925548",24.7,50.5
"Skenes, Paul","694973","2024","514","69","14","1","10",".198",".295",".247",".248",27.8,5.2,36.3,"76.618528618","93.629853102",28.7,49.8
